Time,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/attitude/phi-deg,/fdm/jsbsim/attitude/theta-deg,/fdm/jsbsim/attitude/psi-deg
0,0.00499999999999999924,0,9145.67640000000029,-3.15344810778683083e-31,3.65266826699325722e-15,180
0.08333333333,0.00480772264642438663,-6.95048191677572426e-10,9145.66141723448163,-0.183321438929269331,-0.0705044424827391963,179.989463960635902
0.1666666667,0.00461545726704042699,4.52584527070786008e-09,9145.63527275813613,-1.09932207026560347,-0.339079240628788414,179.956866360202469
0.25,0.0044232474645816526,2.94184086273156681e-08,9145.59972523791839,-2.68780488453020894,-0.704522802710480955,179.927819125755036
0.3333333333,0.00423113548898337681,8.96403927902229172e-08,9145.55237384721659,-4.94342383895734194,-1.09232106635735571,179.908889973894333
0.4166666667,0.00403915835773781436,2.0442245104998447e-07,9145.48884370544874,-7.83630652076104806,-1.47358892386527351,179.906238775466278
0.5,0.00384735150196479107,3.97153655315439784e-07,9145.40656249506173,-11.3568516900653265,-1.82874036617982449,179.921105042883369
0.5833333333,0.00365574990258438681,6.9943395698911305e-07,9145.30566950397588,-15.542241352132466,-2.15110412869484025,179.951452285327235
0.6666666667,0.00346438126853914436,1.1479476074722817e-06,9145.18523892341909,-20.3930765370851894,-2.43663101935726401,179.998031029247244
0.75,0.00327326559345666492,1.78245795073796032e-06,9145.04328256284134,-25.8798742767200167,-2.68198923140679435,180.061280420043829
0.8333333333,0.00308241918998931972,2.65840112079474017e-06,9144.88022695075597,-32.005409683712422,-2.89563959204962362,180.141062021105284
0.9166666667,0.00289185223394735832,3.83689266875215905e-06,9144.69491853407635,-38.7542263159065641,-3.07421298890144046,180.233731025456223
1,0.00270157522265708884,5.39440433073015998e-06,9144.48633666062051,-46.113772162999787,-3.21248202069300959,180.332090684738262
1.083333333,0.00251159649622791081,7.41242810373354615e-06,9144.25146290203156,-54.0614063687441657,-3.31011513640613986,180.429291525871037
1.166666667,0.00232191758479712452,9.95642573098395332e-06,9143.98359243727282,-62.5186494801035764,-3.35955032243669738,180.511294777201044
1.25,0.00213253649192058194,1.30829809642869747e-05,9143.674183468509,-71.3729109732417726,-3.36713435537415684,180.574708277109039
1.333333333,0.00194345128414126966,1.68430204490232844e-05,9143.31341872387929,-80.5180489417367795,-3.33839946455598646,180.603232558549706
1.416666667,0.00175466012261861503,2.12804075454602084e-05,9142.89022654315522,-89.8634429832241892,-3.28515338398636381,180.579890819577088
1.5,0.00156616165338427458,2.64301309148165437e-05,9142.39226800039796,-99.3359578852328724,-3.22594628611839429,180.485313934532911
1.583333333,0.00137795391624499341,3.23118411069095137e-05,9141.80598069215193,-108.879037218420379,-3.18409060138545241,180.323522614259076
1.666666667,0.00119003690157180831,3.89304959548337622e-05,9141.11660908625709,-118.451744581668649,-3.18947596326958394,180.084706625509909
1.75,0.00100241080811652814,4.62734324198001308e-05,9140.30831197123007,-128.025099457286615,-3.27834905298399315,179.765105178110417
1.833333333,0.000815069561075503954,5.43039167663948252e-05,9139.36464551861354,-137.578883155103682,-3.47378383189867979,179.392363406604005
1.916666667,0.000627990877063951992,6.29637831466167024e-05,9138.26819775297008,-147.101420166139093,-3.81217237412651189,178.983929362653726
2,0.000441140292401868582,7.21722869639855732e-05,9137.00043173346603,-156.58603475345609,-4.34750839797348654,178.556338106385795
2.083333333,0.000254496817511741297,8.18170432318296215e-05,9135.54290218676761,-166.033183741969452,-5.09094082373159385,178.16454066429344
2.166666667,6.80479577906592916e-05,9.17478881461514863e-05,9133.87780676904913,-175.478466862785297,-6.02978942513447791,177.873333143513946
2.25,-0.000118215780007125762,0.000101775206016619692,9131.9888341088008,175.021914757967068,-7.13464532130841622,177.743962018712438
2.333333333,-0.000304304168525367739,0.000111668244092032044,9129.86140880457788,165.402982334739107,-8.40454650085800559,177.835660962386356
2.416666667,-0.000490218731334097395,0.000121156543459087469,9127.48567994286532,155.598493089630097,-9.7552170403099101,178.194914490770685
2.5,-0.000675963518825776848,0.000129932628767037624,9124.85674157311405,145.542066256616408,-11.1205701503896499,178.859930740715612
2.583333333,-0.000861541068198625739,0.000137665207291245588,9121.97758098459599,135.178096966690532,-12.3925025472950843,179.833006467324878
2.666666667,-0.00104696226774913452,0.000144013307603287966,9118.85967414947845,124.458718672828951,-13.4860274967385649,181.104138503789756
2.75,-0.00123223978711175294,0.000148655881771542615,9115.52481551665733,113.359965402937036,-14.2982410423597717,182.602219976172137
2.833333333,-0.00141739189738178438,0.000151308852268373234,9112.00411789907048,101.868255846660347,-14.7698416657833889,184.267495922361491
2.916666667,-0.00160244876838536534,0.000151761431405811315,9108.3375184461147,89.9843034944561992,-14.8578543033533119,186.013618273621319
3,-0.00178745417001214776,0.000149886328041066541,9104.57131759179538,77.7074409929864345,-14.5381295713079854,187.764478248647208
3.083333333,-0.0019724604536587296,0.000145664444892659381,9100.75579778882093,65.041187229202734,-13.8035645980107837,189.40509518845721
3.166666667,-0.00215753119091679395,0.000139189928992815819,9096.94201825253185,51.9692016467092728,-12.6682345784915071,190.828803833841533
3.25,-0.00234273752384118929,0.000130673400711084066,9093.17825596211878,38.4579419673576268,-11.1715115723433378,191.941538650856444
3.333333333,-0.00252815056634255256,0.000120435481116941962,9089.50617613873874,24.4651257872636698,-9.37108737886830667,192.658772177703298
